state,Zip,postings_seen
GA,30120,32
MA,01876,32
CA,93524,32
NY,11433,32
MN,55421,32
CA,92821,32
FL,32025,32
FL,34653,32
NJ,07095,32
AL,36362,32
MN,55110,32
MO,65301,32
NY,13676,32
TX,77843,32
TN,37803,32
NJ,07066,31
IL,60805,31
IL,60185,31
NC,28134,31
IL,60201,31
PA,18031,31
MI,48036,31
PA,15401,31
MI,48103,31
CT,06460,31
CA,95927,31
TX,75903,31
IA,50301,31
SD,57201,31
MI,48135,31
TX,78040,31
VA,24073,31
VA,24063,31
VT,05406,31
MA,02134,31
UT,84660,31
MN,55025,31
GA,30265,31
CO,80126,31
IL,60527,31
MT,59102,31
CA,92552,31
MI,48198,31
WI,53226-3279,31
CT,06477,31
OH,43215,31
WI,53204,31
MO,64468,31
KY,40476,31
CA,91010,31
NE,69103,30
WA,98033,30
FL,33028,30
CT,06082,30
FL,33425,30
GA,30241,30
MN,55391,30
NY,11706,30
CO,80033,30
CO,80211,30
PA,19007,30
NY,14564,30
TX,78156,30
NM,88201,30
WI,53548,30
NV,89502,30
VA,23834,30
NH,03805,30
CA,92024,30
OR,97470,30
NY,10523,30
TX,78236,30
NC,27907,30
TX,77588,30
NY,14021,30
MA,01089,30
CT,06514,30
PA,18434,30
UT,84115,30
FL,32173,30
NJ,07652,30
IL,61364,30
MN,55114,30
TX,78628,30
IL,60517,30
NH,03053,30
NE,68702,30
MN,55350,30
ME,04106,30
VA,24501,30
MD,21702,30
ND,58704,30
CA,91603,30
AR,71731,30
MT,59701,30
OR,97222,29
CA,91708,29
WI,53140,29
PA,15065,29
MA,01460,29
MN,55113,29
NC,28106,29
NC,28625,29
CA,90209,29
MD,21094,29
OK,73403,29
NJ,08028,29
NJ,07003,29
NJ,08085,29
PA,19053,29
MI,48071,29
FL,33883,29
WI,53024,29
MS,39535,29
MS,39503,29
MS,39305,29
OH,44118,29
MN,55124,29
NM,88101,29
WI,54016,29
WA,98433,29
OH,44256,29
MS,39157,29
OH,43015,29
PA,17046,29
CA,92079,29
MT,59270,29
CA,93556,29
GA,30110,29
GA,30132,29
PA,19116,29
MN,55340,29
MD,20678,29
NJ,08757,29
IL,60477,29
OH,43560,29
SD,57402,29
MN,55033,29
OH,45601,29
TN,37076,29
WV,26501-5978,29
TN,37849,28
TX,77808,28
TN,37160,28
PA,18104,28
AL,35601,28
KS,67846,28
NJ,08648,28
MO,63090,28
PA,16346,28
MN,55118,28
MI,49401,28
CA,92085,28
MS,39703,28
GA,30291,28
RI,02864,28
GA,30141,28
WI,53223,28
CO,80201,28
CA,92310,28
CO,81601,28
NY,14870,28
TX,77380,28
MN,55128,28
TX,78520,28
IL,60126,28
NE,68822,28
NY,11590,28
CA,93902,28
MA,01844,28
MN,55104,28
IA,50023,28
TN,37115,28
TN,37087,28
MI,49024,28
OK,74013,28
FL,32572,28
IN,47305,28
FL,33045,28
OH,44144,28
CA,91357,28
RI,02920,28
SC,29730,28
PA,17325,28
IN,46041,28
NC,27531,28
WA,98632,28
CO,80443,28
CA,92054,28
PA,19090,28
PA,19104,28
AZ,86001,28
SC,29648,28
AL,35173,28
WI,53215,27
MD,21201,27
TX,75090,27
WI,53403,27
UT,84102,27
IA,50309,27
IL,60141,27
VA,24153,27
FL,33084,27
FL,33114,27
CO,80521,27
NY,10577,27
NH,03820,27
UT,84005,27
MN,55744,27
UT,84604,27
SC,29577,27
NJ,07083,27
WV,25405,27
WV,26726,27
CA,95009,27
GA,31520,27
OH,44907,27
NC,27803,27
FL,34778,27
DE,19963,27
PA,17702,27
PA,18201,27
PA,17901,27
IN,47375,27
OH,44094,27
NY,14225,27
MD,21157,27
UT,84054,27
NY,12095,27
CT,06110,27
CO,80226,27
PA,19380,27
IA,52601,27
NM,88241,27
NY,12065,27
TX,77347,27
MT,59601,27
WI,53190,27
CO,80239,27
CA,91755,27
ID,83651,27
MO,63367,27
AL,36803,27
GA,31320,27
GA,31603,27
LA,70434,27
NJ,07677,27
WI,54221,27
MN,55068,27
NJ,08837,27
CO,80906,27
IL,60051,26
MN,56003,26
MN,56470,26
