state,Zip,S&E,S&E-related,STEM Middle-skill
CA,94547,19,0,5
CA,94549,1,1,1
CA,94550,0,2,0
CA,94551,43,17,7
CA,94553,4,26,5
CA,94560,63,21,11
CA,94563,1,0,0
CA,94564,0,2,2
CA,94565,2,4,10
CA,94568,84,25,13
CA,94574,2,1,1
CA,94575,1,4,0
CA,94577,0,0,4
CA,94577-5602,1,0,0
CA,94579,8,39,21
CA,94580,0,1,2
CA,94581,1,6,4
CA,94583,126,17,11
CA,94585,0,1,0
CA,94587,8,3,12
CA,94588,145,55,11
CA,94589,0,1,0
CA,94590,2,64,7
CA,94596,0,1,0
CA,94597,146,102,5
CA,94599,2,0,0
CA,94606,198,193,30
CA,94607,0,1,3
CA,94608,1,0,0
CA,94611,0,5,0
CA,94612,0,0,1
CA,94662,37,7,3
CA,94701,60,45,11
CA,94706,0,3,0
CA,94801,0,1,0
CA,94802,13,21,14
CA,94804,1,0,3
CA,94806,1,5,1
CA,94806-3008,0,0,1
CA,94901,0,0,1
CA,94903,0,1,0
CA,94904,0,2,0
CA,94912,17,39,2
CA,94920,1,0,0
