state,Zip,1.0,2.0,3.0,4.0,5.0
CA,92277,0,0,1,0,0
CA,92278,0,0,10,2,0
CA,92283,0,0,1,1,0
CA,92284,0,0,5,0,0
CA,92301,0,0,7,4,1
CA,92307,0,0,7,2,0
CA,92310,0,0,20,5,3
CA,92311,0,0,1,0,0
CA,92312,0,0,5,7,1
CA,92316,0,1,4,0,0
CA,92324,0,0,10,3,1
CA,92327,0,0,2,1,0
CA,92331,0,1,29,48,2
CA,92333,0,0,1,0,0
CA,92336,0,0,1,0,0
CA,92345,0,0,1,1,2
CA,92346,0,1,1,0,1
CA,92347,0,0,0,2,0
CA,92354,0,0,38,84,16
CA,92363,0,0,1,1,0
CA,92371,0,0,1,0,0
CA,92373,0,0,0,1,0
CA,92374,0,1,23,12,3
CA,92377,0,0,5,0,0
CA,92392,0,0,12,5,2
CA,92399,0,0,1,0,0
CA,92401,0,0,1,0,0
CA,92406,0,0,82,148,24
CA,92407,0,0,0,1,0
CA,92408,0,0,20,31,5
CA,92410,0,0,0,0,1
CA,92501,0,0,1,0,0
CA,92503,0,0,1,1,0
CA,92504,0,1,0,0,0
CA,92505,0,0,0,1,0
CA,92509,0,0,2,0,0
CA,92514,0,2,49,67,23
CA,92518,0,0,1,0,0
CA,92521,0,0,0,0,1
CA,92530,0,1,3,0,0
CA,92543,0,0,5,4,3
CA,92552,0,0,14,12,5
CA,92555,0,0,1,0,0
CA,92563,0,1,6,3,3
CA,92572,0,0,7,1,1
